filename,labels
image1.png,"Geometry, pixel, cellular Automata, cells"
image2.png,"Swirls, Perlin noise, swirling, flow"
image3.png,"Circular, stripes, motion, Perlin noise, flow, swirls"
image4.png,"Repetitive, moire, hypnotic"
image5.png,"Fluid, colorful, swirls, painterly"
image6.png,"Metallic, reaction diffusion, intricate, reflective, structured"
image7.png,"Gaseous, planet, atmospheric"
image8.png,"Blocky, minimalistic"
image9.png,"wavy, multicolored, translucent, serene"
image10.png,"Chaotic, lines, dense"
image11.png,"Swirls, Perlin noise, flow, stripes"
image12.png,"Metallic, reaction diffusion, intricate, reflective, structured"
image14.png,"voronoi diagram, voronoi, polygonal, segemented"
image15.png,"voronoi diagram, voronoi, polygonal, segemented"
image16.png,"voronoi diagram, voronoi, polygonal, segemented"
image17.png,"cellular Automata, cellular, cells, biology"
image18.png,"mandelbrot, glitch, fractal, pattern, intricate"
image19.png,"mandelbrot, fractal, pattern, symetric"
image20.png,"mandelbrot, fractal, pattern, symetric, hyptnotic, flowers"
image21.png,"L-Systems, cube, square, vertex"
image22.png,"L-Systems, cube, square, vertex"
image23.png,"L-Systems, cube, square, vertex"
image24.png,"Random walk, path, lines"
image25.png,"Random walk, path, lines"
image26.png,"Random walk, path, lines"
image27.png,"particle, black hole, gravity"
image28.png,"particle, space, link"
image29.png,"particle, space, link"
